,FlightName,FlightCode,DepartingCity,DepartingTime,ArrivingCity,ArrivingTime,Duration,YatraPrice
324,IndiGo,6E 2716,Kolkata,21:45:00,New Delhi,"00:05
+ 1 DAY",02 h 20 m,3011
325,SpiceJet,SG 8265,Kolkata,22:20:00,New Delhi,"00:30
+ 1 DAY",02 h 10 m,6572
326,IndiGo,6E 2746,Kolkata,23:45:00,New Delhi,"02:00
+ 1 DAY",02 h 15 m,4112
114,Vistara,UK 813,New Delhi,17:40:00,Bengaluru,20:30,02 h 50 m,6021
327,Air India,AI 763,Kolkata,06:55:00,New Delhi,09:15,02 h 20 m,4777
328,Vistara,UK 778,Kolkata,15:15:00,New Delhi,17:50,02 h 35 m,3140
329,Air India,AI 768,Kolkata,15:25:00,New Delhi,18:10,02 h 45 m,7940
330,Air India,AI 768,Kolkata,15:25:00,New Delhi,18:10,02 h 45 m,6488
331,Air India,AI 770,Kolkata,20:00:00,New Delhi,22:35,02 h 35 m,7040
332,SpiceJet,SG 8373,Kolkata,10:50:00,New Delhi,13:10,02 h 20 m,7635
333,SpiceJet,SG 8373,Kolkata,10:50:00,New Delhi,13:10,02 h 20 m,7293
334,Vistara,UK 720,Kolkata,07:10:00,New Delhi,09:35,02 h 25 m,3133
335,Vistara,UK 706,Kolkata,10:25:00,New Delhi,12:40,02 h 15 m,3168
336,Vistara,UK 706,Kolkata,10:25:00,New Delhi,12:40,02 h 15 m,4381
337,Vistara,UK 738,Kolkata,18:45:00,New Delhi,21:20,02 h 35 m,7924
338,Vistara,UK 708,Kolkata,20:30:00,New Delhi,23:00,02 h 30 m,6944
74,IndiGo,6E 5376,Bengaluru,19:30:00,Mumbai,21:10,01 h 40 m,7290
173,Vistara,UK 868,Bengaluru,09:45:00,New Delhi,12:40,02 h 55 m,5027
339,IndiGo,6E 2513,Kolkata,08:30:00,New Delhi,10:55,02 h 25 m,3058
340,IndiGo,6E 2759,Kolkata,15:40:00,New Delhi,18:00,02 h 20 m,5763
115,IndiGo,6E 781,New Delhi,15:30:00,Bengaluru,18:20,02 h 50 m,7932
116,IndiGo,6E 2302,New Delhi,20:20:00,Bengaluru,23:05,02 h 45 m,7461
117,IndiGo,6E 2302,New Delhi,20:20:00,Bengaluru,23:05,02 h 45 m,4194
118,Air India,AI 502,New Delhi,13:40:00,Bengaluru,16:20,02 h 40 m,7514
119,Air India,AI 815,New Delhi,15:35:00,Bengaluru,18:35,03 h,6233
120,Air India,AI 807,New Delhi,17:00:00,Bengaluru,20:15,03 h 15 m,5156
375,Vistara,UK 871,New Delhi,20:35:00,Hyderabad,22:55,02 h 20 m,4140
311,Air India,AI 401,New Delhi,06:55:00,Kolkata,09:00,02 h 05 m,4009
312,Air India,AI 401,New Delhi,06:55:00,Kolkata,09:00,02 h 05 m,3759
341,IndiGo,6E 2345,Kolkata,10:10:00,New Delhi,12:30,02 h 20 m,4089
342,IndiGo,6E 2345,Kolkata,10:10:00,New Delhi,12:30,02 h 20 m,7233
343,IndiGo,6E 2358,Kolkata,11:40:00,New Delhi,14:00,02 h 20 m,7980
121,Vistara,UK 811,New Delhi,06:15:00,Bengaluru,09:05,02 h 50 m,7769
122,Vistara,UK 817,New Delhi,16:05:00,Bengaluru,18:45,02 h 40 m,3089
123,Vistara,UK 817,New Delhi,16:05:00,Bengaluru,18:45,02 h 40 m,7504
31,IndiGo,6E 5221,Mumbai,16:45:00,Bengaluru,18:35,01 h 50 m,4877
32,IndiGo,6E 5067,Mumbai,18:05:00,Bengaluru,19:55,01 h 50 m,6332
33,IndiGo,6E 5067,Mumbai,18:05:00,Bengaluru,19:55,01 h 50 m,6034
34,IndiGo,6E 5256,Mumbai,20:35:00,Bengaluru,22:05,01 h 30 m,6761
272,IndiGo,6E 2113,Mumbai,19:00:00,New Delhi,21:10,02 h 10 m,4083
273,IndiGo,6E 2518,Mumbai,20:10:00,New Delhi,22:25,02 h 15 m,3537
274,IndiGo,6E 2518,Mumbai,20:10:00,New Delhi,22:25,02 h 15 m,7089
275,IndiGo,6E 2051,Mumbai,21:35:00,New Delhi,23:30,01 h 55 m,4269
75,Air India,AI 640,Bengaluru,06:45:00,Mumbai,08:35,01 h 50 m,6206
76,Air India,AI 622,Bengaluru,12:05:00,Mumbai,14:00,01 h 55 m,7326
77,Air India,AI 622,Bengaluru,12:05:00,Mumbai,14:00,01 h 55 m,5456
78,Air India,AI 610,Bengaluru,19:20:00,Mumbai,21:20,02 h,5796
174,Air India,AI 513,Bengaluru,07:05:00,New Delhi,10:00,02 h 55 m,3405
175,Air India,AI 505,Bengaluru,09:50:00,New Delhi,12:35,02 h 45 m,3844
35,Vistara,UK 857,Mumbai,21:30:00,Bengaluru,23:15,01 h 45 m,4374
124,IndiGo,6E 6383,New Delhi,11:45:00,Bengaluru,14:40,02 h 55 m,7272
125,IndiGo,6E 2514,New Delhi,13:15:00,Bengaluru,16:10,02 h 55 m,3753
126,IndiGo,6E 2487,New Delhi,17:15:00,Bengaluru,20:00,02 h 45 m,6106
127,IndiGo,6E 6622,New Delhi,18:55:00,Bengaluru,21:50,02 h 55 m,5410
176,IndiGo,6E 861,Bengaluru,08:00:00,New Delhi,10:45,02 h 45 m,7936
177,IndiGo,6E 861,Bengaluru,08:00:00,New Delhi,10:45,02 h 45 m,6803
128,Air India,AI 512,New Delhi,19:15:00,Bengaluru,22:35,03 h 20 m,4417
129,Air India,AI 512,New Delhi,19:15:00,Bengaluru,22:35,03 h 20 m,6519
276,SpiceJet,SG 8191,Mumbai,21:20:00,New Delhi,23:45,02 h 25 m,3989
130,IndiGo,6E 5608,New Delhi,09:20:00,Bengaluru,12:05,02 h 45 m,3733
131,IndiGo,6E 6797,New Delhi,10:40:00,Bengaluru,13:35,02 h 55 m,6992
178,IndiGo,6E 869,Bengaluru,12:00:00,New Delhi,14:45,02 h 45 m,7609
132,Vistara,UK 819,New Delhi,14:10:00,Bengaluru,16:45,02 h 35 m,7740
179,Air India,AI 507,Bengaluru,11:45:00,New Delhi,14:35,02 h 50 m,5916
403,Vistara,UK 860,Hyderabad,07:00:00,New Delhi,08:55,01 h 55 m,4749
404,Vistara,UK 870,Hyderabad,20:35:00,New Delhi,22:45,02 h 10 m,4335
36,IndiGo,6E 2244,Mumbai,19:30:00,Bengaluru,21:15,01 h 45 m,5109
344,Air India,AI 769,Kolkata,10:00:00,New Delhi,12:20,02 h 20 m,7624
79,IndiGo,6E 5083,Bengaluru,20:40:00,Mumbai,22:20,01 h 40 m,4671
133,Air India,AI 506,New Delhi,09:40:00,Bengaluru,12:30,02 h 50 m,10962
313,Vistara,UK 705,New Delhi,07:40:00,Kolkata,09:45,02 h 05 m,12240
134,Vistara,UK 809,New Delhi,19:50:00,Bengaluru,22:40,02 h 50 m,11879
135,Vistara,UK 809,New Delhi,19:50:00,Bengaluru,22:40,02 h 50 m,12031
180,Vistara,UK 810,Bengaluru,07:00:00,New Delhi,09:40,02 h 40 m,12500
80,Vistara,UK 866,Bengaluru,06:40:00,Mumbai,08:20,01 h 40 m,10517
81,Vistara,UK 852,Bengaluru,09:30:00,Mumbai,11:25,01 h 55 m,11291
82,Vistara,UK 854,Bengaluru,18:25:00,Mumbai,20:15,01 h 50 m,8924
83,Vistara,UK 854,Bengaluru,18:25:00,Mumbai,20:15,01 h 50 m,16344
37,Air India,AI 603,Mumbai,06:45:00,Bengaluru,08:40,01 h 55 m,12457
84,IndiGo,6E 259,Bengaluru,08:30:00,Mumbai,10:10,01 h 40 m,13121
314,Vistara,UK 727,New Delhi,20:30:00,Kolkata,22:20,01 h 50 m,14713
277,Vistara,UK 928,Mumbai,06:30:00,New Delhi,08:35,02 h 05 m,16804
278,Vistara,UK 952,Mumbai,12:50:00,New Delhi,14:45,01 h 55 m,16542
279,Vistara,UK 944,Mumbai,14:40:00,New Delhi,16:55,02 h 15 m,12990
280,Vistara,UK 944,Mumbai,14:40:00,New Delhi,16:55,02 h 15 m,12183
281,Vistara,UK 902,Mumbai,15:45:00,New Delhi,18:10,02 h 25 m,14203
282,Vistara,UK 910,Mumbai,17:25:00,New Delhi,19:35,02 h 10 m,13342
283,Vistara,UK 996,Mumbai,18:30:00,New Delhi,20:40,02 h 10 m,10727
284,Vistara,UK 950,Mumbai,21:55:00,New Delhi,"00:10
+ 1 DAY",02 h 15 m,13220
285,Vistara,UK 986,Mumbai,22:50:00,New Delhi,"01:00
+ 1 DAY",02 h 10 m,13692
181,Air India,AI 808,Bengaluru,21:00:00,New Delhi,23:55,02 h 55 m,10520
182,Vistara,UK 816,Bengaluru,11:30:00,New Delhi,14:10,02 h 40 m,15064
183,Vistara,UK 816,Bengaluru,11:30:00,New Delhi,14:10,02 h 40 m,15203
85,Vistara,UK 846,Bengaluru,08:30:00,Mumbai,10:10,01 h 40 m,9855
86,Vistara,UK 840,Bengaluru,21:35:00,Mumbai,23:20,01 h 45 m,13238
38,Vistara,UK 863,Mumbai,09:05:00,Bengaluru,10:50,01 h 45 m,12050
39,Vistara,UK 863,Mumbai,09:05:00,Bengaluru,10:50,01 h 45 m,14248
345,IndiGo,6E 2516,Kolkata,16:45:00,New Delhi,19:05,02 h 20 m,16606
87,Vistara,UK 850,Bengaluru,19:55:00,Mumbai,21:35,01 h 40 m,8456
184,IndiGo,6E 2339,Bengaluru,00:30:00,New Delhi,03:20,02 h 50 m,16393
136,Vistara,UK 815,New Delhi,08:00:00,Bengaluru,10:50,02 h 50 m,8142
137,Vistara,UK 801,New Delhi,09:10:00,Bengaluru,11:50,02 h 40 m,9165
138,Vistara,UK 807,New Delhi,20:40:00,Bengaluru,23:20,02 h 40 m,14498
185,Vistara,UK 808,Bengaluru,08:00:00,New Delhi,10:35,02 h 35 m,15233
40,IndiGo,6E 5296,Mumbai,07:00:00,Bengaluru,08:40,01 h 40 m,10744
41,IndiGo,6E 5211,Mumbai,08:30:00,Bengaluru,10:25,01 h 55 m,10987
42,IndiGo,6E 5212,Mumbai,09:50:00,Bengaluru,11:35,01 h 45 m,13474
43,Vistara,UK 851,Mumbai,07:00:00,Bengaluru,08:50,01 h 50 m,16007
88,Vistara,UK 864,Bengaluru,19:00:00,Mumbai,20:35,01 h 35 m,13836
89,Vistara,UK 864,Bengaluru,19:00:00,Mumbai,20:35,01 h 35 m,13840
315,IndiGo,6E 5213,New Delhi,09:00:00,Kolkata,11:05,02 h 05 m,11505
44,Air India,AI 639,Mumbai,09:20:00,Bengaluru,11:10,01 h 50 m,13481
90,Air India,AI 642,Bengaluru,21:25:00,Mumbai,23:20,01 h 55 m,18097
